,user,search query,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,account subjectivity score,retweet subjectivity,retweet subjectivity score,tones,sadness_score,joy_score,fear_score,disgust_score,anger_score
0,JonGlasco,Pandemic Autonomous Vehicles,2020-07-23 14:43:08,Can autonomous vehicles be the heroes of the COVID-19 pandemic?,positive,0.4,,,,,1286310888513961985,subjective,0.7,,,joy,0.079216,0.151604,0.066504,0.034174,0.040655
1,FoodLogistics,Pandemic Autonomous Vehicles,2020-07-22 22:20:14,"With the onset of this #pandemic, #autonomous mobile #robots and autonomic guided vehicles are playing critical roles in many activities across industries around the world.",positive,0.3,,,,,1286063529754165248,subjective,0.6666666666666666,,,"sadness, joy",0.165888,0.149056,0.052969,0.006643,0.017533
2,gbackfried,Pandemic Autonomous Vehicles,2020-07-22 19:33:58,nan,,,"A driverless race at Indianapolis's storied speedway next year will provide a stress test for AI systems used in autonomous vehicles, participants and organizers say
https://t.co/8LpzZljDxv",positive,0.2,,1286021687218188290,,,objective,0.35,,0.0,0.0,0.0,0.0,0.0
3,WSJProAI,Pandemic Autonomous Vehicles,2020-07-22 19:20:00,"A driverless race at Indianapolis's storied speedway next year will provide a stress test for AI systems used in autonomous vehicles, participants and organizers say",positive,0.2,,,,,1286018173410533378,objective,0.35,,,"sadness, fear",0.103019,0.096808,0.106172,0.049895,0.023173
4,kismetbae,Pandemic Autonomous Vehicles,2020-07-21 16:25:00,nan,,,"1/ This is a very cool initiative to keep college students motivated during the pandemic.

College teams from around the world are preparing for an October 2021 autonomous racing competition with a $1.5 million prize at stake. 

https://t.co/ifPwqbOFMU",positive,0.4275,,1285611747198590979,,,very subjective,0.7725,,0.0,0.0,0.0,0.0,0.0
5,iot_automotive,Autonomous Vehicles,2020-07-23 18:31:57,nan,,,"DAILY DRIVE PODCAST: Local Motors' David Woessner discusses the company's deployment of its purpose-built autonomous electric shuttle, the hurdles of getting AVs on public roads and how it's using 3D printing to produce low-volume vehicles. #ANDailyDrive https://t.co/0rf3EdeoGh",positive,0.1,,1286368469315985409,,,very objective,0.19166666666666665,,0.0,0.0,0.0,0.0,0.0
6,EvanKirstel,Autonomous Vehicles,2020-07-23 18:31:03,nan,,,MIT task force predicts fully autonomous vehicles won’t arrive for ‘at least’ 10 years https://t.co/TsTrZePnvo,positive,0.05000000000000002,,1286368245289754631,,,subjective,0.55,,0.0,0.0,0.0,0.0,0.0
7,Automotive_News,Autonomous Vehicles,2020-07-23 18:30:35,"DAILY DRIVE PODCAST: Local Motors' David Woessner discusses the company's deployment of its purpose-built autonomous electric shuttle, the hurdles of getting AVs on public roads and how it's using 3D printing to produce low-volume vehicles. #ANDailyDrive",positive,0.1,,,,,1286368126557454336,very objective,0.19166666666666665,,,"sadness, joy, anger",0.119867,0.247031,0.091175,0.097966,0.165277
8,Andii_kuyik,Autonomous Vehicles,2020-07-23 18:29:41,The role of artificial intelligence in autonomous vehicles -,negative,-0.09999999999999998,,,,,1286367900840992769,very subjective,0.85,,,sadness,0.108894,0.051148,0.085473,0.048969,0.031656
9,fkiller,Autonomous Vehicles,2020-07-23 18:29:27,nan,,,MIT task force predicts fully autonomous vehicles won’t arrive for ‘at least’ 10 years https://t.co/ipj5iUo3Ge,positive,0.05000000000000002,,1286367838928855040,,,subjective,0.55,,0.0,0.0,0.0,0.0,0.0
