user,search query,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,account subjectivity score,retweet subjectivity,retweet subjectivity score
Robotics_Brief,Nuro autonomous robot,2019-02-16 06:00:31,"Nuro Inc Files United States Patent Application for Autonomous Robot Vehicle with Securable Compartments 
#robot #robotics #robots
To read more on this patent please visit
https://t.co/oqQsUyThlo https://t.co/SiXbIbSInA",positive,0.45,,,,,1096650511879557120,subjective,0.6,,
natlawreview,Nuro autonomous robot,2019-06-20 22:45:06,Domino’s to Deliver Pizza with Autonomous Robot https://t.co/lQu0EX62U9 @RobinsonCole #Nuro #Houston #DriverlessVehicle,positive,0.4,,,,,1141839419009355776,subjective,0.7,,
nurobots,Nuro autonomous robot,2019-06-20 17:44:09,An autonomous robot that delivers pizza? It’s happening! Nuro co-founder Dave Ferguson talked with @Varneyco on @FoxBusiness about the new partnership with @dominos starting later this year. #nurodelivers https://t.co/bxdNVyAUWW,positive,0.1590909090909091,,,,,1141763681643945984,objective,0.31363636363636366,,
natlawreview,Nuro autonomous robot,2019-06-21 14:40:10,Domino’s to Deliver Pizza with Autonomous Robot -  #Nuro #Houston #DriverlessVehicle  https://t.co/qj0ayVBGD2,positive,0.4,,,,,1142079771104485381,subjective,0.7,,
NatLawEmployer,Nuro autonomous robot,2019-06-21 12:10:11,Domino’s to Deliver Pizza with Autonomous Robot - #Nuro #Houston #DriverlessVehicle  https://t.co/gYChyFExOE,positive,0.4,,,,,1142042024960507904,subjective,0.7,,
uberlyftdrivers,Pony AI autonomous driving,2019-01-15 20:40:52,"The #Autonomous #Driving #Startup #Pony.ai, second in autonomous only to #Didi, Raises $112 Million https://t.co/xIRX71EMZ2 https://t.co/V07BPe5WkJ",positive,0.2,,,,,1085275647323373569,subjective,0.6,,
wadekwright,Pony AI autonomous driving,2019-04-13 04:20:03,"China: Pony AI autonomous driving startup gains $50M backing from Kunlun, major startup VC firm https://t.co/jHoffBZAbk #china #autotech #autonomous #techstartups",positive,0.16562500000000002,,,,,1116918947306180609,subjective,0.575,,
aersinbilgin,Pony AI autonomous driving,2019-04-15 06:25:20,"#Beijing #Kunlun #Tech, a #mobile #game #platform #developer, is #planning to #purchase a 3 #percent #stake in #US. #autonomous #driving #technology #company #Pony.ai. https://t.co/FDaVrVMplk",neutral,0.0,,,,,1117675252077727744,subjective,0.55,,
LidarMonkey,self driving expert,2019-01-02 19:38:39,Autonomous vehicle expert says 5G will make driverless cars safer | TheHill - The Hill https://t.co/kfb2ksxXqB via @lidarmonkey #self #driving #car,positive,0.4,,,,,1080548947452669952,subjective,0.7,,
jessemckinley,self driving expert,2019-01-04 14:50:12,"Hmmm:

""I don't have any expert knowledge,"" @NYGovCuomo says about tunnel design. Then he adds, ""I don't believe at a time when they are talking about flying cars,"" and starts to talk about self-driving cars.",neutral,0.0,,,,,1081201133224423425,very objective,0.0,,
