,user,search query,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,account subjectivity score,retweet subjectivity,retweet subjectivity score,tones,sadness_score,joy_score,fear_score,disgust_score,anger_score
0,ArchKiwi,self driving car accidents,2020-01-03 18:45:28,i told him everyone uses ml to do ai and he was sad they didn't use lisp... i told him not *that* (s)ml but that everyone uses python... and now he's pissed. i told him about the self driving car accidents and he started screaming!,negative,-0.625,,,,,1213169521487421446,very subjective,1.0,,,anger,0.41771,0.019404,0.172314,0.038205,0.557194
1,truefactsbot,self driving car accidents,2020-01-05 21:47:02,if a self-driving car gets in an accident that is national spaghetti day.,neutral,0.0,,,,,1213939989416939525,very objective,0.0,,,,0.395256,0.154985,0.273621,0.185196,0.209058
2,truefactsbot,self driving car accidents,2020-01-05 20:32:01,"if a self-driving car gets in an accident that is returned safely, a study found.",positive,0.5,,,,,1213921114801479680,objective,0.5,,,,0.2206,0.27416,0.153794,0.091738,0.193349
3,RichardEudes,self driving car accidents,2020-01-06 21:30:14,"another self-driving car accident, another ai development lesson artificialintelligence, bigdata, businessanalytics, datascience, datascience ds, deeplearning, iot, machinelearning, neuralnetworks",neutral,0.0,,,,,1214298153287061507,very objective,0.0,,,,0.275385,0.073744,0.368265,0.058759,0.158902
4,gls_energy,self driving car accidents,2020-01-06 17:39:35,"4. the prospect of a self-driving car is pushed further into the future. a series of accidents with experimental vehicles causes a major manufacturer or technology company to issue a statement that they’re no longer developing self-driving technology."" $tsla $tslaq $elonq",positive,0.040625,"Byron Wien's 10 Surprises For 2020: Iran Shuts Hormuz, Boeing Fixes 737, Bond Bubble Bursts https://t.co/94EZwqIEZc",neutral,0.0,,1214240108087533568,objective,0.38125,very objective,0.0,,0.290771,0.026109,0.223453,0.030264,0.192459
5,hncynic,self driving car accidents,2020-01-06 01:25:29,"title: 3 crashes, 3 deaths raise questions about tesla's autopilot : &gt;""even if it could have prevented this accident. i'm going to take a different look. this isn't the first self driving car out of a tesla car i've ever owned, nor of any other car that i own in the…",positive,0.245,,,,,1213994964386009089,subjective,0.6616666666666667,,,sadness,0.662031,0.020597,0.30674,0.075675,0.219703
6,emanherz,self driving car accidents,2020-01-07 17:44:46,ottawa market report | the safe way to cancel a credit card | 2020 color trends in interior design | dezeen's top 10 architecture trends of 2019 | humans are the leading cause of self-driving car accidents - [campaign url] -,positive,0.5,,,,,1214603797865156621,objective,0.5,,,,0.123502,0.030444,0.165072,0.017154,0.057706
7,Alt_ivate,self driving car accidents,2020-01-07 16:35:36,"another self-driving car accident, another ai development lesson by datascience",neutral,0.0,,,,,1214586390647918592,very objective,0.0,,,,0.345899,0.107471,0.352068,0.095354,0.217263
8,GoodLifeArtist,self driving car accidents,2020-01-07 15:31:07,"4. the prospect of a self-driving car is pushed further into the future. a series of accidents with experimental vehicles causes a major manufacturer or technology company to issue a statement that it is no longer developing self-driving technology."" - surprises f/ blackstone",positive,0.040625,,,,,1214570165687308288,objective,0.38125,,,,0.350518,0.062623,0.301178,0.067073,0.185786
9,SOS49684283,self driving car accidents,2020-01-07 13:05:11,"did you know? if a self-driving car gets in an accident that is clearly its fault, the owner doesn't pay damages. the manufacturers do. alloa drivinginstructor learnerdriver sos(schoolofsuccess) car",positive,0.10000000000000002,,,,,1214533437685518336,objective,0.3833333333333333,,,,0.349836,0.021314,0.231006,0.227327,0.402815
