,user,post_date_time,account_status,account_sentiment,account_sentiment_score,retweet_status,retweet_sentiment,retweet_sentiment_score,post_location,tweet_id,account_subjectivity,account_subjectivity_score,retweet_subjectivity,retweet_subjectivity_score
0,AVminer2,2020-07-09 18:52:00,https://t.co/zpQjYUYyDH,neutral,0.0,,,,,1281300086069309442,very objective,0.0,,
1,AVminer2,2020-07-03 20:14:24,@sepinwall random tweet #awesome,positive,0.25,,,,,1279146495867002880,subjective,0.75,,
2,AVminer2,2020-07-03 20:13:51,https://t.co/LgBA0hTQLU,neutral,0.0,,,,,1279146358629437440,very objective,0.0,,
3,AVminer2,2020-07-02 03:04:32,'#Daimler-backed #Momenta says its #robotaxis will be fully #driverless and profitable in 2024 https://t.co/ymh44Ss3A5 via @techcrunch',neutral,0.0,,,,,1278524934499827712,very objective,0.0,,
4,AVminer2,2020-06-29 16:45:18,Autonomous vehicles are performing better and better every day.,positive,0.466666666666667,,,,,1277644319927795712,subjective,0.566666666666667,,
5,AVminer2,2020-06-29 16:44:57,the future of autonomous vehicles is looking bleak due to Covid-19,negative,-0.18125,,,,,1277644232229031937,subjective,0.55,,
6,AVminer2,2020-06-29 16:44:36,The future of autonomous vehicles is not bright.,positive,0.0166666666666667,,,,,1277644144870141952,subjective,0.541666666666667,,
7,AVminer2,2020-06-29 16:43:04,This is alright.,neutral,0.0,,,,,1277643760877350913,very objective,0.0,,
8,AVminer2,2020-06-29 16:42:46,This is not good at all!,negative,-0.4375,,,,,1277643684419420160,subjective,0.6,,
9,AVminer2,2020-06-29 16:42:35,This is terrible!,negative,-1.0,,,,,1277643639401955328,very subjective,1.0,,
10,AVminer2,2020-06-26 21:07:18,😠👿😤,neutral,0.0,,,,,1276623091419021312,very objective,0.0,,
11,AVminer2,2020-06-26 21:06:40,Twitter whyyy,neutral,0.0,,,,,1276622933839032321,very objective,0.0,,
12,AVminer2,2020-06-26 21:06:20,Please work,neutral,0.0,,,,,1276622850334621696,very objective,0.0,,
13,AVminer2,2020-06-26 20:59:09,Hii,neutral,0.0,,,,,1276621043764015104,very objective,0.0,,
14,AVminer2,2020-06-26 20:57:23,test,neutral,0.0,,,,,1276620596080791552,very objective,0.0,,
15,AVminer2,2020-06-26 20:52:54,Location Test 3,neutral,0.0,,,,,1276619467330551808,very objective,0.0,,
16,AVminer2,2020-06-26 20:52:50,Location Test 2,neutral,0.0,,,,,1276619450188431367,very objective,0.0,,
17,AVminer2,2020-06-26 20:52:38,Location Test 1,neutral,0.0,,,,,1276619401245134856,very objective,0.0,,
18,AVminer2,2020-06-19 18:56:41,,,,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet,neutral,0.0,,1274053506316619776,,,very objective,0.0
19,AVminer2,2020-06-19 18:56:02,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet,neutral,0.0,,,,,1274053343195824128,very objective,0.0,,
20,AVminer2,2020-06-19 18:55:49,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet https://t.co/LHkepF4EyZ,neutral,0.0,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet https://t.co/BJTCGLVWr8,neutral,0.0,,1274053287453605889,very objective,0.0,very objective,0.0
21,AVminer2,2020-06-19 17:43:29,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet https://t.co/BJTCGLVWr8,neutral,0.0,More than 100 spacecraft have been signed up to fly on Falcon 9 since we launched the rideshare program. Small satellite operators can book their ride to orbit online → https://t.co/hyMYK3v29p https://t.co/HYGfD333ix,positive,0.35,,1274035084157505538,very objective,0.0,subjective,0.6
22,AVminer2,2020-06-18 22:58:25,.kjndkjgfndfkjgnkfdjng,neutral,0.0,,,,,1273751952405475328,very objective,0.0,,
23,AVminer2,2020-06-18 22:20:19,,,,Falcon 9 launches 58 Starlink satellites and 3 @planetlabs Skysats to orbit before returning to Earth and landing on a droneship https://t.co/K6OjgJQZfv,neutral,0.0,,1273742366294376448,,,very objective,0.0
24,AVminer2,2020-06-18 21:34:17,ljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsd.ldkmfldskflksdfmlsdmfklsmdlfkmsdlk https://t.co/25wOUmvlS1,neutral,0.0,Happy Sunday!,positive,1.0,,1273730782310346753,very objective,0.0,very subjective,1.0
