user,search query,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,retweet subjectivity
AVminer2,query,2020-06-29 16:45:18,Autonomous vehicles are performing better and better every day.,positive,0.4666666666666666,,,,,1277644319927795712,0.5666666666666667,
AVminer2,query,2020-06-29 16:44:57,the future of autonomous vehicles is looking bleak due to Covid-19,negative,-0.18125,,,,,1277644232229031937,0.55,
AVminer2,query,2020-06-29 16:44:36,The future of autonomous vehicles is not bright.,positive,0.016666666666666663,,,,,1277644144870141952,0.5416666666666666,
AVminer2,query,2020-06-29 16:43:04,This is alright.,neutral,0.0,,,,,1277643760877350913,0.0,
AVminer2,query,2020-06-29 16:42:46,This is not good at all!,negative,-0.4375,,,,,1277643684419420160,0.6000000000000001,
AVminer2,query,2020-06-29 16:42:35,This is terrible!,negative,-1.0,,,,,1277643639401955328,1.0,
AVminer2,query,2020-06-26 21:07:18,😠👿😤,neutral,0.0,,,,,1276623091419021312,0.0,
AVminer2,query,2020-06-26 21:06:40,Twitter whyyy,neutral,0.0,,,,,1276622933839032321,0.0,
AVminer2,query,2020-06-26 21:06:20,Please work,neutral,0.0,,,,,1276622850334621696,0.0,
AVminer2,query,2020-06-26 20:59:09,Hii,neutral,0.0,,,,,1276621043764015104,0.0,
AVminer2,query,2020-06-26 20:57:23,test,neutral,0.0,,,,,1276620596080791552,0.0,
AVminer2,query,2020-06-26 20:52:54,Location Test 3,neutral,0.0,,,,,1276619467330551808,0.0,
AVminer2,query,2020-06-26 20:52:50,Location Test 2,neutral,0.0,,,,,1276619450188431367,0.0,
AVminer2,query,2020-06-26 20:52:38,Location Test 1,neutral,0.0,,,,,1276619401245134856,0.0,
AVminer2,query,2020-06-19 18:56:41,,,,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet,neutral,0.0,,1274053506316619776,,0.0
AVminer2,query,2020-06-19 18:56:02,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet,neutral,0.0,,,,,1274053343195824128,0.0,
AVminer2,query,2020-06-19 18:55:49,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet https://t.co/LHkepF4EyZ,neutral,0.0,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet https://t.co/BJTCGLVWr8,neutral,0.0,,1274053287453605889,0.0,0.0
AVminer2,query,2020-06-19 17:43:29,This is my tweet. This is my tweet. This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet.This is my tweet. This is my tweet https://t.co/BJTCGLVWr8,neutral,0.0,More than 100 spacecraft have been signed up to fly on Falcon 9 since we launched the rideshare program. Small satellite operators can book their ride to orbit online → https://t.co/hyMYK3v29p https://t.co/HYGfD333ix,positive,0.35000000000000003,,1274035084157505538,0.0,0.6
AVminer2,query,2020-06-18 22:58:25,.kjndkjgfndfkjgnkfdjng,neutral,0.0,,,,,1273751952405475328,0.0,
AVminer2,query,2020-06-18 22:20:19,,,,Falcon 9 launches 58 Starlink satellites and 3 @planetlabs Skysats to orbit before returning to Earth and landing on a droneship https://t.co/K6OjgJQZfv,neutral,0.0,,1273742366294376448,,0.0
AVminer2,query,2020-06-18 21:34:17,ljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsdljksdflsdfdslkfjsldkfjsdklfsd;lfkjsd;lkfjsdklfjsd.ldkmfldskflksdfmlsdmfklsmdlfkmsdlk https://t.co/25wOUmvlS1,neutral,0.0,Happy Sunday!,positive,1.0,,1273730782310346753,0.0,1.0
AVminer2,query,2020-06-18 21:33:46,sdkjndslkjfsdlkjfnlskdjnfkjsdnfkdjsnfkjnsdkjfnsdkjfnskjdnfjksndkfjnsdjknfksjdnfksdjnfkjnsdfkjndsjknflsdnfdjjjjjnsjndfksdjnfjksndfkjsndfjksdlnfjsdllsdfnskjdf sdfkjnsdlkjfnksjdf sdfjklsdnfkjlnsdkljfnsdf sdjfndsfjnsdklfnjsdkjnfkdsjnfdksnf sdfkjnsdkfjnskdjnfkjsdnfkjlsdnfkjsdnfjkdjjjj,neutral,0.0,,,,,1273730648780558338,0.0,
AVminer2,query,2020-06-14 21:14:41,Eihdccjtrhf9876 #Eihdccjtrhf9876 https://t.co/UmfeVTqtKj,neutral,0.0,"This photo has not been edited, look closer on this drone footage",neutral,0.0,,1272276295003639810,0.0,0.0
AVminer2,query,2020-06-14 21:14:13,#Eihdccjtrhf9876,neutral,0.0,,,,,1272276179064684545,0.0,
AVminer2,query,2020-06-14 21:13:32,Eihdccjtrhf9876,neutral,0.0,,,,,1272276005592469504,0.0,
